cloud,l_min(deg),l_max(deg),b_min(deg),b_max(deg),d_mean(pc),region,co_survey,extended_notes
S140 / L1204,106.5,105.0,4.5,6.0,900,Local Arm,FCRAO; CfA 1.2m; JCMT,"Edge-on photodissociation region on the L1204 cloud, ionized by HD 211880 in Cep OB2. The standard PDR benchmark for 12CO high-J line ratios and [CII] modelling. Contains the S140 IRS1-3 embedded massive protostars."
Lacerta,100.0,92.0,-14.0,-6.0,510,Local/Gould Belt,CfA 1.2m; MWISP,"Named local feature in Dame+2001, comprising the LDN 1200-series dark clouds. Low-mass, quiescent, with only scattered YSOs. Sits below the plane on the near side of the Local Arm."
Pegasus,100.0,85.0,-35.0,-25.0,230,Local high-latitude,CfA 1.2m; Magnani+,"Diffuse high-latitude complex, one of the nearest CO-detected structures (~230 pc). Weak, clumpy 12CO with essentially no 13CO; a target for CO-dark gas and low-Av CO-formation studies rather than star formation."
IC 1396 / Cep OB2,100.5,98.0,2.5,5.5,900,Local Arm,CfA 1.2m; FCRAO; MWISP,"Large HII region ionized by HD 206267, surrounded by a ring of bright-rimmed globules (IC 1396A the 'Elephant Trunk') - the textbook radiative-driven-implosion / triggered-SF laboratory. Distance quoted between ~740 pc (2400 ly) and ~950 pc; ~900 pc adopted here."
IC 5146 (Cocoon),95.0,93.0,-6.0,-4.0,800,Local Arm,FCRAO; CfA 1.2m; Herschel,"The Cocoon Nebula plus a ~10 pc eastern 'streamer' of filaments. Herschel filament-width studies (0.1 pc characteristic width) were first made here. Distance historically 460-1200 pc; ~800 pc is the common modern value. Moderate low-mass SF."
Cygnus Rift,90.0,70.0,-6.0,6.0,700,Local Arm,CfA 1.2m; MWISP,"Extensive foreground molecular sheet at ~600-800 pc that produces the Great Rift in the optical Milky Way and heavily confuses velocity-based distances toward Cygnus X behind it. Massive in total but low column density; scattered low-mass SF. A major source of extinction in this longitude range."
NGC 7000 / Pelican,86.5,84.5,-2.0,0.0,800,Local Arm,CfA 1.2m; MWISP; FCRAO,"W80 complex: the North America (NGC 7000) and Pelican (IC 5070) nebulae are one HII region split by the LDN 935 dust lane. Ionizing source is the obscured O star 2MASS J20555125+4352246. Gaia distance ~795 pc. Active intermediate-mass SF along the interface."
NGC 7023 (Iris),105.5,102.5,12.0,15.5,430,Local Arm,CfA 1.2m; IRAM,"Reflection nebula on the L1174 cloud illuminated by HD 200775. The single most-studied PDR after the Orion Bar - the reference object for PAH emission, H2 fluorescence, and CO rotational-ladder PDR models. Small mass; one Herbig Be star."
Vulpecula Rift,65.0,50.0,-4.0,4.0,600,Local Arm,CfA 1.2m,"Local diffuse rift named in Dame+2001, the continuation of the Aquila/Cygnus rift system toward lower longitude. Low column density, weak 12CO, negligible star formation; mainly relevant as foreground confusion for inner-Galaxy sightlines."
Hercules,50.0,41.0,7.0,12.0,227,Local/Gould Belt,CfA 1.2m,"Small, nearby (~227 pc), low-mass cloud named as a distinct feature in Dame+2001 and given a Gaia distance by Zucker+2019/2020. Translucent, no significant star formation. Useful as a clean low-column CO test case."
MBM 40,38.5,35.5,43.0,46.5,100,High-latitude,Magnani-Blitz-Mundy 1985; Arecibo; IRAM,"One of the nearest and best-studied translucent MBM clouds (d~100 pc, M~20 Msun). No star formation; used as a laboratory for CO chemistry and turbulence at Av<1 and for CO-dark H2 calibration. Weak, narrow 12CO lines."
Aquila Rift,40.0,20.0,5.0,20.0,270,Local/Gould Belt,CfA 1.2m; NANTEN; PMO 13.7m,"Largest local complex by sky area; dominates the northern Galactic-plane extinction. Western portion spans l=25-33, b=1-6 and contains Serpens Main, Serpens South, W40 and MWC 297. Nearest layers ~270 pc; the complex is a distance-superposition (Zucker+2019 finds components from ~250 to ~600 pc), so 12CO velocity structure is heavily blended."
Serpens,34.0,28.0,2.0,7.0,440,Local/Gould Belt,CfA 1.2m; FCRAO; PMO 13.7m,"VLBA parallaxes give 436+/-9 pc for both Serpens Main and Serpens South (Ortiz-Leon+2017), settling a long-standing 260 vs 415 pc dispute. The W40 GMC alone is ~1.4e5 Msun. Serpens South is one of the densest known protocluster filaments; Herschel/Aquila was the flagship Gould Belt Survey field."
Ophiuchus North,10.0,0.0,20.0,35.0,130,Local/Gould Belt,CfA 1.2m; Magnani+1996,"High-latitude streamers (L204, L169, and neighbours) extending north from the main Ophiuchus cloud, part of the Sco-Cen shell. Among the nearest CO gas (~130 pc). Translucent and largely starless; often used for CO-dark gas and dust-to-gas calibration."
Corona Australis,6.5,-2.5,-27.0,-16.0,156,Local/Gould Belt,CfA 1.2m; NANTEN; Mopra,"Compact, isolated, cometary cloud at ~150-160 pc - one of the three nearest active SF regions. Head is the R CrA cluster (Coronet); a long low-density tail extends toward the Galactic plane. Small total mass (~1e3-1e4 Msun) but high SF efficiency in the head."
L134 / L183,6.0,2.0,34.0,38.0,110,Local high-latitude,CfA 1.2m; IRAM 30m,"One of the four main northern high-latitude aggregations (Magnani+1996). d~110 pc. L183 is the classic prestellar core for depletion/deuteration chemistry (CO freeze-out, N2D+/N2H+); L134N (L183) is a standard astrochemistry template source. No protostars."
Pipe Nebula,4.0,-4.0,3.0,8.0,145,Local/Gould Belt,CfA 1.2m; NANTEN; Mopra,"~1e4 Msun at ~145 pc, but almost entirely starless apart from B59 - the standard example of a cloud in a pre-star-formation state. Its ~130 dense cores define the observed core mass function that most closely resembles the stellar IMF (Alves+2007). Strongly magnetically aligned striations."
Ophiuchus,-1.0,-9.0,12.0,19.0,150,Local/Gould Belt,CfA 1.2m; NANTEN; COMPLETE,"L1688 (rho Oph) is the densest nearby protocluster; L1689 L1709 L1712 form the eastern streamers. VLBA/Gaia distance ~138-147 pc. Compressed by the Sco-Cen OB association / Upper Sco winds, which drives its high SF efficiency (~1e4 Msun cloud, hundreds of YSOs). Very high extinction core (Av>50)."
Lupus,-19.0,-25.0,5.0,20.0,160,Local/Gould Belt,CfA 1.2m; NANTEN,"Six subclouds (Lupus I-VI) at 150-200 pc, with Lupus I-IV nearest (~150-160 pc). Low-mass SF only; Lupus III hosts the richest cluster. Lupus I shows a striking magnetically-regulated filament. Prime ALMA protoplanetary-disk survey target because of its youth and proximity."
Chamaeleon,-55.0,-65.0,-20.0,-14.0,190,Local/Gould Belt,CfA 1.2m; NANTEN; Herschel,"Cha I (~190 pc) is actively forming low-mass stars; Cha II is less active; Cha III is essentially starless - a useful evolutionary sequence at fixed distance. Total complex mass ~1e4 Msun. Far from the plane and isolated, so foreground/background CO confusion is minimal."
Musca,-57.0,-60.0,-10.0,-8.0,180,Local/Gould Belt,NANTEN; APEX; Herschel,"The archetypal isolated filament: ~6 pc long, near-perfect cylinder, remarkably close to the critical line mass, with well-ordered striations feeding it perpendicular to the magnetic field. The standard test case for filament formation and accretion models. Almost no star formation (one candidate protostar)."
Coalsack,-54.0,-61.0,-4.0,3.0,195,Local/Gould Belt,CfA 1.2m; NANTEN 13CO/C18O,"The most prominent naked-eye dark nebula. d~180-200 pc, M~3500 Msun. Essentially starless despite high extinction - a key counterexample to simple density thresholds for SF. NANTEN 13CO/C18O mapping resolves it into ~10 quiescent cores with low turbulence."
Circinus,-41.0,-45.0,-6.0,-2.0,700,Local Arm,CfA 1.2m; NANTEN,"Named local feature in Dame+2001 at ~700 pc. Modest mass with a few embedded low-mass sources; sits in a crowded southern sightline where 12CO velocity crowding from the Scutum-Centaurus arm complicates separation."
Vela Molecular Ridge,-85.0,-100.0,-4.0,3.0,850,Local Arm,CfA 1.2m; NANTEN; Mopra,"Four clouds A-D (Murphy & May): A, C and D at 700+/-200 pc, but cloud B is a background object at ~2 kpc and should be excluded from local-cloud samples. Individual clouds are 1e5-1e6 Msun in 12CO. Vela C is the most massive C18O cloud (~4.4e4 Msun) and hosts RCW 36. The nearest site of ongoing intermediate/high-mass star formation."
RCW 36 / Vela C,-94.4,-95.4,0.8,1.9,900,Local Arm,NANTEN; Mopra; APEX,"Embedded cluster in the Vela C ridge at ~900 pc; the nearest high-mass-cluster-forming clump. NANTEN2/Mopra 12CO show two colliding velocity components, making it a leading cloud-cloud-collision candidate (Sano+2018). Bipolar nebula morphology from a filament-perpendicular outflow of ionized gas."
Gum Nebula,-95.0,-115.0,-15.0,2.0,450,Local Arm,CfA 1.2m; NANTEN,"~35 deg diameter evolved HII region/supershell at ~450 pc containing dozens of cometary globules (CG 1-30) whose tails point away from the Vela pulsar / zeta Pup. Foreground to the Vela Molecular Ridge on the sky - the two are frequently confused but are separable in velocity. CO is confined to the globules and shell walls."
CMa OB1,-134.0,-138.0,-3.0,0.0,1100,Local Arm,CfA 1.2m; FCRAO; MWISP,"GMC associated with the CMa OB1 association and Sh2-296, ~1.1 kpc. Long-argued supernova-triggered SF site (the Sh2-296 arc is likely an old SNR shell). Contains several embedded clusters and the CMa R1 reflection nebulae."
Mon R2,-141.0,-149.0,-14.0,-10.0,875,Local Arm,CfA 1.2m; FCRAO,"Subtends ~15.3 deg2 (~3000 pc2) with M~0.75e5 Msun. Distance ~830-900 pc, notably farther than Orion A/B though nearby on the sky. Contains a well-known ultracompact HII region and one of the most luminous and massive CO outflows known. Reflection-nebula association R2 gives it its name."
Orion A,-144.0,-155.0,-21.0,-17.0,425,Local/Gould Belt,CfA 1.2m; Nobeyama; CARMA-NRO Orion,"The best-studied GMC: M~6.8e4 Msun (Lada+2010: 67714 Msun), d=371+/-10 pc (extinction) to ~400-430 pc (VLBA/Gaia; the cloud is inclined with the ONC nearest at ~390 pc). Contains OMC-1/M42/Trapezium, OMC-2/3, the Orion Bar (the benchmark edge-on PDR), and the L1641 tail. CARMA-NRO Orion gives 12CO at ~8 arcsec."
IC 2118 (Witch Head),-150.0,-155.0,-30.0,-25.0,210,Local/Gould Belt,CfA 1.2m,"Reflection nebula on the far western wall of the Orion-Eridanus superbubble, illuminated by Rigel. Distance quoted ~200-300 pc, well in front of Orion A/B. Very low column density with weak, patchy 12CO; a few T Tauri stars. Good test case for CO emission at low Av in an irradiated shell."
Orion B,-152.0,-157.0,-17.0,-13.0,415,Local/Gould Belt,CfA 1.2m; IRAM ORION-B; Nobeyama,"L1630: M~7.2e4 Msun (Lada+2010: 71828 Msun), d=398+/-12 pc, comparable in mass to Orion A but forming stars ~3x less efficiently. Contains NGC 2024 (Flame), NGC 2023, the Horsehead (B33), and NGC 2068/2071. The IRAM ORION-B large program is the reference wide-field multi-line dataset for CO isotopologue chemistry vs UV field."
L1642,-148.0,-152.0,-38.0,-34.0,140,High-latitude,CfA 1.2m; SEST; Herschel,"MBM 20 region. One of only two high-latitude (|b|>30) clouds with confirmed star formation, at just ~140 pc - which makes it the standard example that SF is possible in a small, low-mass, translucent cloud. Herschel-resolved cores; total mass only tens of Msun."
Barnard's Loop / Orion East,-150.0,-160.0,-20.0,-10.0,400,Local/Gould Belt,CfA 1.2m,"Ionized rim of the Orion-Eridanus superbubble blown by successive generations of Orion OB1 stars. Associated swept-up molecular gas appears as diffuse, low-brightness 12CO east of Orion A/B. Important for large-scale feedback and for separating swept-up shell CO from the parent GMCs."
Mon R1,-156.0,-160.0,1.0,3.5,800,Local Arm,CfA 1.2m; FCRAO,"Western end of the Mon OB1 complex, containing the NGC 2170/2245/2247 reflection nebulae. Roughly co-distant with NGC 2264 (~720-800 pc). Modest mass; low-to-intermediate mass SF plus PDR interfaces well suited to CO excitation studies."
Mon OB1 / NGC 2264,-156.0,-159.0,0.0,4.0,750,Local Arm,CfA 1.2m; FCRAO; Nobeyama,"Gaia DR2 distance 723 (+56/-49) pc. Cloud mass ~2.8e4 Msun with ~3000 Msun around each of the two main clusters. Contains the Cone Nebula, the Christmas Tree cluster, and IRAS 12 S1. Site of an unbiased 12CO(1-0) outflow survey that found nine outflows; a benchmark for clustered low/intermediate-mass SF and mass segregation."
Lambda Orionis Ring,-162.0,-172.0,-16.0,-8.0,400,Local/Gould Belt,CfA 1.2m; NANTEN,"Ring of molecular clouds (B30, B35, and others) around the Collinder 69 / lambda Ori cluster (stellar mass 650+/-120 Msun, radius ~3 deg or ~20 pc) at ~400 pc. Widely interpreted as a supernova-cleared cavity: the ring is the swept-up remnant of the original cloud, so it is the cleanest nearby case of a CO shell being dispersed by feedback."
MBM 12 (L1457),161.0,157.0,-36.0,-33.0,280,High-latitude,CfA 1.2m; Magnani-Blitz-Mundy 1985,"Long claimed as the nearest molecular cloud (early estimates 60-90 pc); modern work puts it at ~275-325 pc. The other high-latitude cloud with confirmed star formation (a small T Tauri association). Low mass (~30-200 Msun) with detectable 13CO and CS in its densest clumps - unusual for an MBM cloud."
